url_length,has_https,num_dots,has_ip,num_hyphens,num_slashes,has_at,has_subdomain,label
33,1,2,0,2,3,0,0,1
46,1,2,0,4,3,0,0,1
41,1,2,0,4,3,0,0,1
43,1,2,0,7,3,0,0,1
43,1,2,0,4,3,0,0,1
38,1,2,0,1,3,0,0,1
45,1,2,0,5,3,0,0,1
44,1,2,0,5,3,0,0,1
40,1,2,0,2,3,0,0,1
38,1,2,0,2,3,0,0,1
66,1,5,0,0,6,0,1,1
84,1,2,0,1,9,0,0,1
35,1,2,0,2,3,0,0,1
43,1,2,0,5,3,0,0,1
21,1,1,0,0,3,0,0,1
34,1,2,0,1,3,0,0,1
40,1,2,0,2,3,0,0,1
40,1,2,0,4,3,0,0,1
43,1,2,0,4,3,0,0,1
40,1,2,0,3,3,0,0,1
42,1,2,0,2,3,0,0,1
41,1,2,0,5,3,0,0,1
19,1,1,0,0,3,0,0,1
41,0,1,0,0,3,0,0,1
38,1,3,0,0,3,0,1,1
35,1,2,0,2,3,0,0,1
32,0,2,0,0,3,0,0,1
50,0,3,0,0,6,0,1,1
