url_length,has_https,num_dots,has_ip,num_hyphens,num_slashes,has_at,has_subdomain,label
48,1,2,0,8,3,0,0,1
44,1,2,0,5,3,0,0,1
24,1,2,0,0,3,0,0,1
33,0,2,0,0,3,0,0,1
100,1,1,0,11,4,0,0,1
65,1,1,0,4,5,0,0,1
45,1,2,0,1,3,0,0,1
45,1,1,0,2,4,0,0,1
60,1,1,0,2,6,0,0,1
57,1,1,0,3,6,0,0,1
42,1,1,0,2,4,0,0,1
65,1,1,0,3,6,0,0,1
38,1,2,0,0,3,0,0,1
60,1,3,0,1,4,0,1,1
67,1,1,0,3,6,0,0,1
30,0,2,0,0,3,0,0,1
26,1,2,0,0,3,0,0,1
33,1,2,0,0,3,0,0,1
61,0,3,0,1,3,0,1,1
67,1,1,0,4,3,0,0,1
70,0,3,0,1,4,0,1,1
61,0,3,0,1,3,0,1,1
61,0,3,0,1,3,0,1,1
61,0,3,0,1,3,0,1,1
58,1,2,0,3,3,0,0,1
43,0,2,0,1,3,0,0,1
43,1,2,0,2,3,0,0,1
61,0,3,0,1,3,0,1,1
68,1,3,0,3,4,0,1,1
40,0,1,0,0,3,0,0,1
40,0,1,0,0,3,0,0,1
61,0,3,0,1,3,0,1,1
61,0,3,0,1,3,0,1,1
28,0,1,0,1,3,0,0,1
61,0,3,0,1,3,0,1,1
61,0,3,0,1,3,0,1,1
61,0,3,0,1,3,0,1,1
61,0,3,0,1,3,0,1,1
34,1,1,0,1,3,0,0,1
48,0,3,0,2,3,0,1,1
61,0,3,0,1,3,0,1,1
61,0,3,0,1,3,0,1,1
51,1,2,0,6,3,0,0,1
61,0,3,0,1,3,0,1,1
44,1,2,0,2,3,0,0,1
61,0,3,0,1,3,0,1,1
61,0,3,0,1,3,0,1,1
41,1,2,0,5,3,0,0,1
61,0,3,0,1,3,0,1,1
36,1,2,0,4,3,0,0,1
61,0,3,0,1,3,0,1,1
61,0,3,0,1,3,0,1,1
61,0,3,0,1,3,0,1,1
39,1,2,0,3,3,0,0,1
33,0,2,0,2,4,0,0,1
21,1,2,0,0,3,0,0,1
49,1,2,0,2,3,0,0,1
30,0,2,0,2,3,0,0,1
40,0,2,0,0,4,0,0,1
18,0,1,0,0,3,0,0,1
21,0,2,0,0,3,0,0,1
42,1,2,0,3,3,0,0,1
38,1,1,0,2,3,0,0,1
46,1,3,0,2,3,0,1,1
53,1,2,0,8,3,0,0,1
38,0,2,0,0,4,0,0,1
